"externalNamespaceName","numberOfExternalCallerModules","numberOfExternalCallerElements","numberOfExternalDeclarationCalls","numberOfExternalDeclarationCallsWeighted","allModules","allInternalElements","exampleStories","Source Cypher File: External_Dependencies/External_namespace_usage_overall_for_Typescript.cypher"
"@types",4,35,108,163,4,59,"<mapRouteProperties> of module <react-router> imports <React.createElement> from external namespace <@types>,<FetcherWithComponents> of module <react-router-dom> imports <React.ForwardRefExoticComponent> from external namespace <@types>,<FetcherWithComponents> of module <react-router-dom> imports <React.RefAttributes> from external namespace <@types>,<BrowserRouterProps> of module <react-router-dom> imports <React.ReactNode> from external namespace <@types>",""
"@ungap",1,1,1,2,4,59,"<createSearchParams> of module <react-router-native> imports <url-search-params> from external namespace <@ungap>",""
